clusters9,Features9,weights
3,opportunity,0.017401147021498198
3,cost,0.017256862509170582
3,work,0.016893827376320277
3,awareness,0.01594561506474915
3,woman,0.01592766731400692
3,cultural,0.015404261121260086
3,create,0.015276548418085817
3,engage,0.01516446432501387
3,promote,0.014891028615645962
3,social,0.01481301725692565
3,continue,0.014589623354033514
3,public,0.014382437011146953
3,event,0.013791923408179387
3,offer,0.013559911019309869
3,food,0.0134260670813687
3,education,0.013320241414144798
3,workshop,0.013308372955155464
3,establish,0.012488571157121908
3,ensure,0.012251269375917395
3,assist,0.01216944321068666
3,quality,0.012029459774284905
3,access,0.011744003037529586
3,health,0.011697405174869668
3,skill,0.011592039700978779
3,club,0.011482131397996856
3,senior,0.011234159003249458
3,purchasing,0.011085719978340349
3,include,0.009775987981786055
3,sport,0.009758573468883099
3,learn,0.009683258254493747
3,facility,0.009396758645628459
3,disability,0.009295574447918899
3,resident,0.009150696237891765
3,upgrade,0.00862511521426432
3,space,0.008615942055904307
3,make,0.00725031403258973
3,recreational,0.007242198626870955
3,culture,0.007228491024936235
3,school,0.007216648730927595
3,impact,0.006765523444308666
3,age,0.006557623327047779
3,young,0.006257259475130001
3,physical,0.005764160856143657
3,participate,0.005661804020153253
3,adult,0.0052631327584085445
3,heritage,0.0052399913522853695
3,renovate,0.003932292333875814
3,accessible,0.003611266160723252
3,install,0.003363121538534315
3,safety,0.0032712025555167155
3,life,0.002863886361730366
3,active,0.002695815088956496
3,replace,0.001514011962514618
4,safety,0.5273125915493461
4,improve,0.11752486723417449
4,equipment,0.1032243228272663
4,purchase,0.07957055178483124
4,increase,0.07247366298695278
4,new,0.07075413859816444
4,community,0.06149428264483069
4,enhance,0.06143044310988537
4,facility,0.06075770796706376
4,health,0.05785870642005387
4,program,0.056448929852004684
4,upgrade,0.05187991512632848
4,ensure,0.049883293899189496
4,purchasing,0.04764378904058315
4,club,0.047398386776837796
4,replace,0.04434684685807759
4,training,0.04139930788542332
4,provide,0.03416071288204328
4,quality,0.03406119404586512
4,child,0.0339286137465287
4,staff,0.033115879671927265
4,building,0.032804896430273886
4,youth,0.030888064709246942
4,area,0.03052810521259411
